mask,gmedian,rmedian,bmedian,gmean,rmean,bmean,gstd,rstd,bstd,isconvex,area,aspect_ratio_wh_s,extent_s,solidity,aspect_ratio_wh,extent,ed,ratio_ell,perimeter,is_cen_inside,is_mce_inside,Nr,label
37,136.0,137.0,134.0,134.01231922870915,133.72362078200322,130.66416711301554,40.58369463595068,40.45549035287081,39.941001165034294,False,882.5,3.280701754385965,0.08279388310348063,0.6460468521229868,23.374829204140937,0.5532110286032856,33.52064883364851,27.305327120700813,420.14927566051483,1.0,1.0,999000608525971,curb
43,146.0,145.0,141.0,144.75471698113208,144.26850507982584,140.1574746008708,17.221874366778323,17.422035600657686,17.14420245454218,False,1214.5,1.2075471698113207,0.08951208726415094,0.2715787119856887,4.29166746455571,0.20612605743767487,39.323649717197604,2.0519002982481718,385.8893904685974,-1.0,-1.0,999000608525971,curb
38,147.0,116.0,145.0,144.3818424566088,113.36849132176235,141.7543391188251,36.137713031505044,36.56591057640938,37.01871930031254,False,628.0,5.318181818181818,0.24397824397824397,0.7830423940149626,14.956779148583381,0.6769404074641909,28.277100878514442,25.889251889443223,254.911687374115,1.0,1.0,999000527235101,curb
11,97.0,96.0,100.0,98.4055289508054,97.82945145842403,101.5005441880714,15.845957279912605,16.355386476222677,16.633390440452033,False,8802.0,0.6412213740458015,0.19997273718647765,0.9412393733625621,0.162130859679355,0.57135617892411,105.86337644699843,13.401970760637848,695.494508266449,1.0,1.0,999000466623001,curb
12,200.0,177.0,206.0,182.71551854655564,166.655639666919,187.29258137774414,38.612772122497866,41.268838980130816,37.8978268747702,False,12552.5,6.2745098039215685,0.19228707107843138,0.8494332600236847,24.5383640976903,0.7368280098871713,126.42127742309889,42.90982310968203,1384.658942103386,1.0,1.0,999000601646161,curb
15,140.0,128.0,145.0,133.0990107995281,120.50036304229442,138.43688174970507,49.37590814209758,49.313448108263124,48.63317453942791,False,10476.5,6.261904761904762,0.23711071881223972,0.92905600141888,17.1571418173115,0.6386589409915882,115.49499595401495,69.05352641625117,1138.0904005765915,1.0,1.0,999000495072791,curb
34,134.0,134.0,132.0,123.58018867924528,122.72936320754717,120.76709905660377,44.92333022024979,44.85088487032446,44.49253305574546,False,1488.0,2.1595744680851063,0.0779792474583377,0.7982832618025751,0.052126313663822366,0.5794037383765787,43.52677845379694,47.28319569003995,486.9015827178955,1.0,1.0,999000608525972,curb
12,96.0,85.0,94.0,91.12036108324975,80.7294314381271,88.90337679705785,23.62723630805516,20.963211206574556,23.553854124051007,False,2827.5,1.794871794871795,0.25892857142857145,0.9259865727853284,6.6850386988628525,0.7604824547068189,60.00070676865959,21.647835944986774,366.29141092300415,1.0,1.0,999000630186112,curb
14,96.0,85.0,94.0,91.25151924375422,80.90206011482607,89.04692775151925,23.550107613128656,20.875012795546212,23.473291940375027,False,2799.5,1.7820512820512822,0.25820881756133557,0.9254545454545454,6.55801172234794,0.7557515759828036,59.70288188593653,43.67486597981748,361.46298372745514,1.0,1.0,999000630186112,curb
37,190.0,166.0,206.0,182.62254025044723,158.83363148479427,198.9427549194991,28.576588113006096,27.630112676681087,29.788826474876636,False,1019.5,1.2777777777777777,0.15391002415458938,0.9118962432915921,0.11576193224492222,0.6902153257619863,36.02870683021386,11.311139364989943,243.7472541332245,1.0,1.0,999000527235102,curb
24,130.0,120.0,136.0,121.33116883116882,112.15230224321134,127.32644628099173,30.194560116307454,29.01227914550657,31.251148505049517,False,1490.0,1.7345132743362832,0.06727469748961531,0.6607538802660754,15.333333116036549,0.45404472560110076,43.55602049838107,20.585151163597686,492.98484241962433,1.0,-1.0,999000542882092,curb
30,130.0,120.0,135.5,121.04112808460634,111.85193889541716,127.02643948296122,30.363999350246356,29.19105879198237,31.436091608139503,False,1497.0,1.7345132743362832,0.06759075311540545,0.6626826029216467,15.333333116036549,0.45617782162741466,43.65821341361255,20.17730636281405,493.81326949596405,1.0,-1.0,999000542882092,curb
38,141.0,147.0,133.0,135.01399739583334,141.2060546875,127.21744791666667,27.67107299393014,27.614749744383452,27.60448159092174,False,2726.0,2.4565217391304346,0.0582702748920525,0.8080628427449237,0.036224097393966044,0.5657876354178836,58.913928734621436,312.6247402839722,797.6955199241638,1.0,1.0,999000639922122,curb
32,193.0,165.0,205.0,180.08892763731473,152.53705318221446,191.45422842197036,37.369837215985484,34.04788124534454,37.63913852498965,False,1014.5,2.090909090909091,0.16039525691699605,0.8950154389060432,11.219178561444853,0.71692201397496,35.94024927756933,24.2748694685571,280.3502861261368,1.0,1.0,999000601646162,curb
19,200.0,182.0,209.0,184.9794520547945,169.20678408349642,194.30397912589694,39.85918505474973,38.10050780510504,40.49817263501922,False,698.5,0.9484536082474226,0.07827207530255491,0.8808322824716267,15.663716058544667,0.6321110039627752,29.82210291038362,24.69803856687495,275.0020899772644,1.0,1.0,999000495072792,curb
23,206.0,185.0,216.0,190.58930957683742,174.96213808463253,200.8966592427617,35.80833253012354,33.549058462402066,36.21585881653639,False,2103.5,0.96875,0.13252898185483872,0.9434850863422292,10.374998805839372,0.7039825834968705,51.75190220997113,34.97994501704985,371.71276664733887,1.0,1.0,999000495072792,curb
19,96.0,86.0,94.0,93.51021126760564,82.72183098591549,91.47077464788732,23.8544862750872,22.612973392757862,24.190598615407424,False,2688.5,1.8591549295774648,0.2868651301749893,0.926749396759738,0.16267338566447087,0.7621581989839886,58.50730309987365,39.06793653128927,344.4924215078354,1.0,1.0,999000630186113,curb
24,197.0,176.0,213.0,184.12478632478633,162.34358974358975,199.95897435897436,31.732209918659372,31.52369719036202,32.15727949608123,False,527.0,1.2564102564102564,0.27577184720041864,0.9070567986230637,0.22121759749922587,0.6357554106704238,25.903614421069328,22.129711713763175,138.02438509464264,1.0,1.0,999000527235103,curb
25,198.5,176.0,209.0,185.3004143646409,164.21063535911603,197.11187845303868,36.48439006013868,34.72029868870346,37.15388965318324,False,1282.5,1.896551724137931,0.08934169278996865,0.7928902627511591,15.185182704604388,0.5792682925228355,40.40952506678155,19.21350823470233,399.8305150270462,1.0,1.0,999000527235103,curb
27,63.0,55.0,66.0,89.02896871378911,79.2595596755504,93.17728852838934,55.537552939770755,55.272734280535374,56.860198083859636,False,782.5,3.409090909090909,0.47424242424242424,0.9189665296535525,5.976189958872588,0.8025782282040954,31.564377766008075,6.943247344325906,171.84061932563782,1.0,1.0,999000615140433,curb
15,146.0,147.0,144.0,155.48291925465838,152.79192546583852,154.98757763975155,37.751615738360584,37.376507178161596,37.82719030031478,False,1809.5,2.3191489361702127,0.3532110091743119,0.9182948490230906,6.0597018710778965,0.8056413201517728,47.99923912103479,11.304065888938732,269.92387998104095,1.0,1.0,999000630378433,curb
38,186.5,165.0,196.0,182.05913978494624,161.16397849462365,192.5215053763441,24.833786110727527,24.953020229627167,24.720416660816618,False,293.0,8.444444444444445,0.4283625730994152,0.8161559888579387,0.0689001362680303,0.7510291805287834,19.314740138231286,18.70347164030905,160.1421353816986,1.0,1.0,999000601646163,curb
28,193.0,174.0,199.0,177.7016611295681,161.02259136212624,184.52558139534884,38.81220691842351,37.42116614533637,38.699775211313124,False,1360.5,2.1538461538461537,0.1495054945054945,0.8763285024154589,12.010416605984336,0.7128954211111278,41.620216248983965,23.316643836419892,336.29141104221344,1.0,1.0,999000495072793,curb
21,67.0,58.5,70.0,93.29508196721312,84.27302631578948,97.30655737704917,55.954678458433875,55.50205481069898,57.13162360739628,False,547.5,2.0,0.3255053507728894,0.9155518394648829,0.18674214094935454,0.8143129784314193,26.40262583044538,7.386857618104207,142.46803629398346,1.0,1.0,999000615140434,curb
22,123.0,115.0,128.0,116.20386533665835,107.73877805486285,121.66458852867831,28.20991778379369,27.972995839960742,28.30123351281532,False,1385.5,1.717741935483871,0.05245721641678025,0.7810033821871477,0.04161712573095647,0.5543778591995284,42.00087367222934,213.28128099497812,532.3401811122894,1.0,1.0,999000542882094,curb
26,120.0,109.0,124.0,115.23142250530786,104.37579617834395,119.0552016985138,29.680122009380195,27.88632587347018,30.276546717745337,False,1212.5,1.96,0.06186224489795918,0.8237092391304348,26.62689223800371,0.6751556164496835,39.2912579079798,53.06059746152704,477.2863587141037,1.0,1.0,999000542882094,curb
29,152.0,161.0,141.0,151.0682128240109,160.22442019099591,140.5586630286494,16.12102883654462,16.431576382880642,16.414885580111182,False,1245.5,2.471264367816092,0.06658647420475809,0.7634079068342017,21.7677123619762,0.5097071320285848,39.82235368442761,487.91196947676576,505.6883796453476,1.0,1.0,999000639922124,curb
13,137.0,124.0,143.0,131.55011303692538,117.97475508666165,137.25244913338358,38.85375762910603,39.84758692939898,37.93360150632458,False,2485.0,2.4,0.245069033530572,0.9363225320271289,7.281152555937645,0.655279102840781,56.24944682987451,32.83047211421172,378.2497808933258,1.0,1.0,999000495072794,curb
30,209.0,187.0,219.0,191.87855670103093,174.6119587628866,201.39876288659795,37.16432573309031,34.09690165321206,37.44027489264149,False,4590.0,1.0803571428571428,0.08467384887839434,0.9424083769633508,0.06465517481932082,0.6594827834941097,76.44716809885372,25.92657946702105,681.9696902036667,1.0,1.0,999000495072794,curb
32,209.0,187.0,219.0,191.84416924664603,174.5593395252838,201.36160990712074,37.22433414009747,34.20402631079041,37.52041744670727,False,4590.0,1.0758928571428572,0.08502519264967398,0.939707237178831,0.06479481596169998,0.6609071231471051,76.44716809885372,28.766574660206324,681.1412680149078,1.0,1.0,999000495072794,curb
46,144.0,131.0,148.0,139.30978260869566,127.37635869565217,143.84782608695653,48.360559432748424,48.541453998681575,47.8737719294434,False,648.0,0.9390243902439024,0.10262907823883434,0.8810333106730116,0.08359133390102903,0.6283680913630291,28.723844188903154,14.298771814863931,231.9898954629898,1.0,1.0,999000495072794,curb
